Timestamp,What is your main discipline?,What sector do you work in?,What industry does your work related to?,What is your highest level of formal education?,How many years experience do you have working with subsurface data?,Do you think you have conceptual or other biases that impact your work?,Do you publish academic or industry literature?,Do you think there is a reproducibility problem in subsurface geoscience? Reproducibility = the ability to reproduce the results of your own or others' work.,"How much of the geoscience literature, do you think is reproducible? (0 = none, 10 = all)",Have you tried to reproduce your own results at a later date?,If yes please detail.,Have you tried to reproduce others' published results?,If yes please detail.,Have you published (or tried to publish) positive or negative replication findings?,If yes please detail.,Do you regularly write computer code as part of your work?,What practicalities make published results difficult to reproduce? [Access to data],What practicalities make published results difficult to reproduce? [Access to software],What practicalities make published results difficult to reproduce? [Assess to code],What practicalities make published results difficult to reproduce? [Access to journals],What practicalities make published results difficult to reproduce? [Journal standards],What practicalities make published results difficult to reproduce? [Lack of funding for reproducibility studies],What practicalities make published results difficult to reproduce? [Methods undocumented],What practicalities make published results difficult to reproduce? [Confidentiality/copyright issues],Please specify any other factors you think are important?,What factors contribute to irreproducible publications? [Reporting bias],What factors contribute to irreproducible publications? [Poor methodology],What factors contribute to irreproducible publications? [Questionable statistical validity],What factors contribute to irreproducible publications? [Poor/inadequate analysis],What factors contribute to irreproducible publications? [Poor project/experimental design],What factors contribute to irreproducible publications? [Inadequate peer review],What factors contribute to irreproducible publications? [Pressure to publish],What factors contribute to irreproducible publications? [Insufficient mentoring/supervision],What factors contribute to irreproducible publications? [Fraud],Please specify any other factors you think are important?,How could reproducibility be improved by authors? [Publish derived data (e.g. seismic horizons)],How could reproducibility be improved by authors? [Clearer separation of raw data from interpretation],How could reproducibility be improved by authors? [Detailed methods explanation],How could reproducibility be improved by authors? [More robust project/experimental design],How could reproducibility be improved by authors? [Increased statistical understanding],How could reproducibility be improved by authors? [Better teaching and mentoring],How could reproducibility be improved by authors? [Increased collaboration between research groups],How could reproducibility be improved by authors? [Pre-registration of hypotheses to third party (e.g. journal or external researcher)],Please specify any other factors you think are important?,"How could reproducibility be improved by societies (e.g. EGU, AGU, AAPG) and journals? [Incentives to publish reproduction studies]","How could reproducibility be improved by societies (e.g. EGU, AGU, AAPG) and journals? [Increased journal standards]","How could reproducibility be improved by societies (e.g. EGU, AGU, AAPG) and journals? [Modified journal correction process]","How could reproducibility be improved by societies (e.g. EGU, AGU, AAPG) and journals? [Incentives for replication studies]","How could reproducibility be improved by societies (e.g. EGU, AGU, AAPG) and journals? [Pre-registration of hypotheses to journal]",Please specify any other factors you think are important?
2020/06/05 9:51:46 AM GMT+1,Geophysics,Academia;Industry,Natural Hazards & Risk,Post-Doctoral,20+,Yes (sometimes),Yes (regularly),Yes (minor),8,Yes,Occasionally I have conducted previous analyses with updated/different software but the same input data. Sometimes this indicates that the software had minor bugs.,Yes,"In the past (during my PhD and early post-doc) I tried to derive the same results as in papers using my own programs/analysis. Most of the time it worked but sometimes I encountered issues - occasionally I contacted the authors for help, which invariably solved the issue.",No,,Yes,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Rarely,,Yes,Maybe,Yes,Maybe,Maybe,Maybe,Maybe,No,,Maybe,Maybe,Maybe,Maybe,No,
2020/06/05 9:55:53 AM GMT+1,Geology,Industry,Oil & Gas,Post-Doctoral,0-5,Yes (sometimes),Yes (sometimes),Yes (minor),5,No,,No,,No,,No,Often,Sometimes,Sometimes,Often,Often,Often,Sometimes,Often,,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Often,Sometimes,Rarely,,Yes,Yes,Maybe,Maybe,Yes,Maybe,Yes,Maybe,,Yes,Maybe,Maybe,Maybe,,the message of 'positive replication' vs. 'negative replication' needs to be forefront. Imagine being an academic whose work is replicated and proved wrong. It's important for science that there is progression but also important to bring academics along on the journey.
2020/06/05 9:56:25 AM GMT+1,Geology,Academia,Renewable Energy,Post-Doctoral,5-Oct,Yes (regularly),Yes (regularly),Yes (major),3,Yes,"Tried to rebuild 3D models I had build years ago which were only based on well and outrcrop data. It proofed to be very difficult task as I had not recorded a very detailed methodology (i.e. which method was used to smooth horizons, what were the exact parameters used?). Thus the results differed - sometimes drastically, sometimes not noticeable. ",No,,No,,Yes,Rarely,Sometimes,Often,Rarely,Sometimes,Sometimes,Often,Often,,Sometimes,Often,Often,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Rarely,,,,,,,,,,,Yes,Yes,Yes,Yes,Maybe,"I think one issue is that people don't like to share their code. I feel the same, because it is always a mess and would need serious work to make easily understandable for others. While some journals offer to submit any code associated with publications I have not done so -  mainly because I don't think the code would be understandable and of fear that there are errors that other would easily spot. The later issue could be solved by making in mandatory to submit code when submitting a manuscript for reviewing - the code would then be reviewed as well, enhancing the reproducability of the work. "
2020/06/05 9:56:30 AM GMT+1,Geology & Geophysics,,"Research, Teaching and Communication",Doctoral (PhD),5-Oct,Yes (sometimes),Yes (sometimes),Yes (minor),7,No,,Yes,"logs and outcrop interpretations in the field, seismic interpretations",No,,No,Often,Sometimes,Often,Rarely,Sometimes,Sometimes,Often,Often,,Often,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Rarely,,Yes,Yes,Yes,Maybe,Yes,Maybe,Maybe,No,,No,Maybe,Maybe,Maybe,No,
2020/06/05 9:57:09 AM GMT+1,Geology,Industry,"Research, Teaching and Communication;Oil & Gas;consultancy","Masters (MSci, MSc, MS)",20+,Unsure,Yes (sometimes),Yes (minor),8,Yes,We often review old studies to incorporate into new studies with additional data (eg. new wells),Yes,Interpretations from other providers are sometimes part of review studies,No,,No,Often,Often,Often,Sometimes,Rarely,Often,Sometimes,Often,"In our consultant role, we are rarely allowed to publish anything. We have provided reviews of papers ahead of publication that were ignored. Data and studies storage management (often reports and data are lost)",Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Often,Sometimes,Sometimes,Often,Poor data storage. Lack of awareness on projects and who is working on what.,Yes,Yes,Yes,Yes,Maybe,Maybe,Yes,Maybe,Relax confidentiality rules (eg. publish information after a period of time),Yes,Maybe,Yes,Yes,Maybe,Ensure there is no fraud and plagiarism
2020/06/05 9:59:59 AM GMT+1,Geophysics,Academia,"Research, Teaching and Communication",Post-Doctoral,20+,Yes (sometimes),Yes (regularly),Yes (minor),5,Yes,Revisited seismic datasets. Results and conclusions often change.,Yes,Reworked datasets - often the original researcher who published the first results is helpful. There are through a few people/organisation who do not share data.,Yes,Not much to add - have done both. ,Yes,Often,Sometimes,Often,Rarely,Rarely,Sometimes,Sometimes,Rarely,,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,,Yes,Yes,Maybe,Maybe,Maybe,Maybe,Maybe,No,,Yes,Yes,Maybe,Maybe,No,"In general, the industry society journals are variable in quality. Can be frustrating venues to published in - inexperienced and overzealous reviewers, long long review turn around time, but also sometime let things through too easily.  "
2020/06/05 10:01:02 AM GMT+1,Geophysics,Academia,"Research, Teaching and Communication",Post-Doctoral,15-20,Unsure,Yes (regularly),Yes (major),8,Yes,Research is a constant process of revision.  ,Yes,Research is a constant process of revision.  ,Yes,,Yes,Often,Rarely,Rarely,Rarely,Rarely,Often,,Often,I think the journals do a great job of demanding details of methods and data in supplementary materials.  This has improved a lot in recent years.,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Often;Sometimes,Sometimes,Sometimes,Rarely,What factors contribute to irreproducible publications?  An inability to access the data!,Yes,Yes,Yes,Yes,Yes,No,No,No,"The main barrier to reproducibility is access to data, particularly industry data.",Yes,No,No,Yes,No,"The worst cases of reproducibility, in my experience, have to do with industry datasets that are available only to the group publishing. "
2020/06/05 10:01:27 AM GMT+1,Geology,Academia,"Research, Teaching and Communication",Post-Doctoral,15-20,No,Yes (regularly),Yes (minor),7,Yes,,No,,,,No,Often,Often,,,,Often,,,Boss-ism,Often,,,Often,,Often,Often,Often,Sometimes,,,Yes,Yes,,,Yes,Yes,,,Yes,,Yes,Yes,,
2020/06/05 10:03:44 AM GMT+1,Geology & Geophysics,Academia,"Research, Teaching and Communication;Oil & Gas",Doctoral (PhD),20+,Yes (regularly),Yes (regularly),Yes (minor),7,Yes,Re run MSc projects to obtain fresh interpretation.  In industry multiple interpretations are (or were) common. Interpretations by partners or consultants using same data. ,Yes,Using published data as basis of a new study.,Yes,"Recent field work in Morocco, re-dated section, looked at previous biostratigraphy, re-interpreted,  and with fieldwork, added new finds, to revise age of section from Cretaceous to Jurassic. https://doi.org/10.1016/j.sedgeo.2019.03.005",No,Often,Rarely,Often,Rarely,Rarely,Often,Often,Sometimes,Im not clear why this is an issue at all?,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,,Yes,Yes,Yes,Yes,Yes,Maybe,Maybe,Maybe,,Maybe,Maybe,Maybe,Maybe,Maybe,
2020/06/05 10:03:48 AM GMT+1,Geology,Academia,"Research, Teaching and Communication",Post-Doctoral,15-20,No,Yes (regularly),No,7,Yes,Statistical assessment of previously acquired/published data,Yes,Statistical assessment of published data,No,,No,Often,Rarely,Sometimes,Rarely,Rarely,Rarely,Sometimes,Rarely,,Rarely,Sometimes,Sometimes,Rarely,Sometimes,Rarely,Sometimes,Rarely,Rarely,,Yes,Yes,Yes,Maybe,Maybe,Maybe,Yes,Maybe,,Maybe,Maybe,Maybe,No,No,
2020/06/05 10:05:04 AM GMT+1,Geology,Academia,"Research, Teaching and Communication",Post-Doctoral,0-5,Unsure,Yes (regularly),No,8,Yes,I regularly conduct quantitative radioisotope and trace element analysis. Reference materials are routinely co-analysed and treated as unknowns. This is an approach that other geoscience disciplines might benefit from.  ,Yes,Isotopic/elemental composition of reference materials supplied by other labs. Again this is routine for us. ,Yes,"Not as first author, but have participated in inter-laboratory comparison studies. ",Yes,Sometimes,Rarely,Rarely,Often,Often,Sometimes,Sometimes,Rarely,Access to samples. ,Sometimes,Often,Sometimes,Often,Sometimes,Often,Sometimes,Sometimes,Rarely,Failure to establish community standards for analysis and data reporting. ,Yes,Yes,Yes,Maybe,Maybe,Yes,Yes,No,,Maybe,Yes,Maybe,Maybe,No,"All journals must provide facilities to archive supplementary data (methods, code, raw data, sample locations, etc). Self archiving by authors is simply not good enough. "
2020/06/05 10:14:29 AM GMT+1,Geology,Academia,Natural Hazards & Risk;foreland basins reconstructions,Post-Doctoral,15-20,Yes (sometimes),Yes (regularly),Yes (minor),3,No,,No,,No,,No,Often,Sometimes,Often,Sometimes,Sometimes,Often,Sometimes,Often,,Often,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Often,Sometimes,Rarely,,Yes,Yes,Yes,Maybe,Maybe,Maybe,Yes,Maybe,,Maybe,Maybe,Maybe,No,Maybe,
2020/06/05 10:22:12 AM GMT+1,Geology,Academia,,"Masters (MSci, MSc, MS)",0-5,Unsure,Yes (sometimes),Yes (major),7,No,,No,,No,,No,Often,Sometimes,Sometimes,Rarely,Rarely,Often,Sometimes,Often,,Sometimes,Sometimes,Sometimes,Often,Often,Sometimes,Often,Sometimes,Rarely,,Yes,Yes,Yes,Yes,Maybe,Maybe,Yes,Maybe,,Yes,Yes,Yes,Yes,Yes,
2020/06/05 10:26:13 AM GMT+1,Geology & Geophysics,Academia,"Research, Teaching and Communication",Doctoral (PhD),20+,Yes (regularly),Yes (regularly),Yes (major),3,Yes,I frequently update my software and/or fix bugs. The resulting changes are worrying!,Yes,I usually find I don't have enough information to do so.,No,,Yes,Often,Sometimes,Sometimes,Rarely,Rarely,Often,Often,Sometimes,"Earth sciences involves ""interpretation"" which is very subjective and experience-dependent.",Sometimes,Sometimes,Often,Sometimes,Sometimes,Rarely,Often,Sometimes,Rarely,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,"Publication of validation tests (e.g. synthetic datasets with known answers, special cases). Also, widespread publication of uncertainty estimates for all data (Earth Science is very bad at this) and education on degree programmes of the importance of uncertainty estimates for ALL data (e.g. dips and strikes).",Yes,No,Yes,Yes,No,
2020/06/05 10:27:00 AM GMT+1,Archaeological Geophysics,Academia;Industry,"Research, Teaching and Communication;Archaeological geophysics",Post-Doctoral,20+,No,Yes (regularly),No,3,Yes,"The data are not the problem. It is the subsequent interpreation that varies. My own after some time, and of course by others.",Yes,"If I could reuse their archive format I was usually able to get the same results, unless they used some bespoke filters.",No,,Yes,Sometimes,Sometimes,Sometimes,Sometimes,Often,Often,Often,Often,Not adhereing to Guid to Good practice when archiving data. No suitable archiving format.,Rarely,Often,Often,Sometimes,Rarely,Often,Often,Sometimes,Rarely,,Maybe,Yes,Yes,Maybe,Maybe,Yes,Yes,Maybe,,Yes,Yes,Yes,Yes,Maybe,
2020/06/05 10:27:34 AM GMT+1,Geology & Geophysics,Academia,Oil & Gas,Post-Doctoral,20+,Yes (sometimes),Yes (sometimes),Yes (major),2,No,,No,,No,,No,Often,Often,Sometimes,Often,Often,Sometimes,Often,Often,,Sometimes,Sometimes,Often,Often,Often,Often,Often,Sometimes,Sometimes,,Yes,Maybe,Yes,Yes,Maybe,No,Yes,Maybe,,Yes,Yes,Maybe,Yes,Maybe,
2020/06/05 10:31:30 AM GMT+1,Geology,Academia,"Research, Teaching and Communication;Oil & Gas","Masters (MSci, MSc, MS)",0-5,Yes (sometimes),Yes (sometimes),Yes (major),2,No,,Yes,,No,,Yes,Often,Often,Sometimes,Sometimes,Sometimes,Often,Often,Often,,Often,Sometimes,Often,Sometimes,Sometimes,Rarely,Often,Sometimes,Rarely,,Yes,Yes,Yes,Yes,Yes,Yes,Maybe,Maybe,,Yes,Yes,Maybe,Maybe,Maybe,
2020/06/05 10:43:20 AM GMT+1,Geology & Geophysics,Academia,Renewable Energy;Engineering Geology,Post-Doctoral,20+,Yes (sometimes),Yes (regularly),Yes (major),4,Yes,,Yes,,No,,No,Often,Sometimes,Sometimes,Rarely,Sometimes,Often,Sometimes,Rarely,,Often,Often,Often,Often,Often,Often,Often,Often,Rarely,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,Yes,Yes,Yes,Yes,No,
2020/06/05 10:45:30 AM GMT+1,Geology,Industry,Oil & Gas,Doctoral (PhD),Oct-15,Yes (regularly),Yes (sometimes),Yes (major),3,Yes,"Rerunning analyses, resampling",Yes,Resampling and reanalysis,Yes,"Single sample overlap with another paper, zircon age dates",No,Often,Often,Often,Sometimes,Sometimes,Sometimes,Often,Often,Lack of culture to do this & weak adherence to scientific method in many areas of geoscience,Often,Often,Often,Often,Often,Often,Often,Often,Rarely,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Open source data repositories, common methodologies",Yes,Yes,Yes,Yes,Yes,"Societies could aggregate work in databases, societies could provide more stats teaching"
2020/06/05 10:50:00 AM GMT+1,Geology,Academia,"Research, Teaching and Communication",Post-Doctoral,5-Oct,Yes (sometimes),Yes (regularly),No,8,No,,No,,No,,No,Often,Sometimes,Rarely,Rarely,Sometimes,Sometimes,Often,Sometimes,Nothing to gain - you would not get published for reproducing a piece of work.,Often,Sometimes,Often,Sometimes,Sometimes,Often,Sometimes,Sometimes,Rarely,,Yes,Yes,Yes,Maybe,Maybe,No,Maybe,No,open access supplementary data. ,Yes,Yes,No,Maybe,No,
2020/06/05 11:02:30 AM GMT+1,Geology,Academia,"Research, Teaching and Communication;Mining & Quarrying;Renewable Energy",Post-Doctoral,Oct-15,Yes (regularly),Yes (regularly),Yes (minor),3,Yes,"It depends what is understood exactly under 'reproducibility'. I would guess in a purist definition to reproduce exactly the results of a paper, then not at all. But some examples of possible reproducibility: I have  gone back to drillholes years later to re-log them and do repeat chemical analyses (pXRF). I have reanalyzed stable isotope data using the same rock samples just drilled slightly next to it, I have repeated fluid inclusion measurements together with new data on the sample billets. I have reinterpreted 2D reflection seismic and drillhole database information in 3D and also reanalysed other's interpretation of the same data. I have tried to reproduce (unsuccessfully!) numerical mechanical modelling results in two completely different modelling codes several years apart. I have done kinematic restorations on 2D sections in different softwares, which are all slightly different because of the code.  ",Yes,We published a geostatistical metal distribution model for some mineral deposits which positively reproduces results published a decade ago. I've reproduced fault kinematic and quantitative measurements of several studies from outcrop and seismic interpretation.,No,,No,Often,Sometimes,Sometimes,Sometimes,Often,Often,Often,Often,"The inherent 'destructive' nature of a lot of sample and outcrop-based studies. I have published on underground outcrops and drill cores that no longer exist (in mines).
Also a person previously interpreting a given dataset will have different knowledge background and biases than I would. Much of what we do is 'expert opinion' and the 'eye of the beholder' determines the outcome.  ",Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Often,Often,Rarely,Some type of work is 'destructive' so the original 'data' is destroyed,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Maybe,Availability of clear guidelines and best-practices,Maybe,Yes,Yes,Maybe,Maybe,Societies could have a huge role to play to Instigate discussion about clear guidelines and best-practices within the communities
2020/06/05 11:04:35 AM GMT+1,Geology & Geophysics,Academia,"Research, Teaching and Communication;Oil & Gas;Natural Hazards & Risk",Post-Doctoral,Oct-15,Yes (sometimes),Yes (sometimes),Yes (major),7,Yes,Working on PhD data to publish later or working on the same data in industry at a later date,Yes,"Using published material and figures within (e.g. well data, seismic cross sections) and attempting to replicate the results on the same datasets to use within my own work and to know if the published results are true/false",No,,No,Often,Often,Often,Often,Often,Often,Often,Often,The impression that giving access to interpretations/results damages the published work/infringes on the researcher IP. Lack of a dedicated space in journals to store/publish this kind of data,Often,Often,Sometimes,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,,Yes,Yes,Maybe,Maybe,Maybe,Yes,Yes,Maybe,,Yes,Maybe,Yes,Yes,Maybe,
2020/06/05 11:26:18 AM GMT+1,Geology & Geophysics,Academia,Renewable Energy;Engineering Geology,Doctoral (PhD),Oct-15,Unsure,Yes (regularly),Yes (minor),3,No,,No,,No,,No,Often,Often,Sometimes,Sometimes,Sometimes,Often,Rarely,Often,,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Access to industry or licensed datasets,Yes,Maybe,Maybe,Maybe,Maybe,Maybe,Yes,No,,Yes,Maybe,Maybe,Yes,No,
2020/06/05 11:28:34 AM GMT+1,Geology & Geophysics,Academia,"Research, Teaching and Communication",Post-Doctoral,5-Oct,Yes (regularly),Yes (regularly),Yes (major),7,Yes,Sometimes the procedure need to be modify with other data ,Yes,"Sometimes the steps are incomplete, data not available ",No,,Yes,Often,Often,Often,Rarely,Rarely,Often,Often,Often,,Often,Often,Often,Sometimes,Often,Often,Often,Often,Sometimes,,Maybe,Yes,Yes,Yes,Yes,Yes,Yes,Maybe,,Yes,Yes,Yes,Yes,Maybe,
2020/06/05 11:31:26 AM GMT+1,Geology,Industry,Oil & Gas,"Masters (MSci, MSc, MS)",20+,Yes (sometimes),Yes (sometimes),Yes (minor),8,Yes,,No,,No,,No,Often,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Often,Often,,Often,Sometimes,Sometimes,Often,Often,Often,Sometimes,Sometimes,Rarely,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Maybe,Yes,Maybe,No,Maybe,
2020/06/05 11:36:08 AM GMT+1,Geology,Academia,,Post-Doctoral,0-5,Yes (sometimes),Yes (regularly),Yes (minor),6,Yes,"Mainly geochemistry, varying outcomes. ",Yes,,,,Yes,Often,Sometimes,Often,Sometimes,Sometimes,Often,Often,Sometimes,,Sometimes,Sometimes,Often,Sometimes,Sometimes,Sometimes,Often,Sometimes,Sometimes,,Yes,Yes,Yes,Maybe,Yes,Yes,Yes,Maybe,,Yes,Maybe,Maybe,Yes,Maybe,
2020/06/05 11:41:53 AM GMT+1,Geology,Academia,Mining & Quarrying;Engineering Geology;Natural Hazards & Risk,Post-Doctoral,20+,Yes (regularly),Yes (regularly),No,5,Yes,"with exploration wells, tunnels, excavation etc; publishing the data set ",Yes,using in the applied researches,Yes,it is a part of scientific management of the filed or lab data,Yes,Sometimes,Rarely,Rarely,Rarely,Sometimes,Often,Sometimes,Sometimes,the reviews in the journals,Sometimes,Often,Sometimes,Sometimes,Often,Often,Sometimes,Often,Sometimes,,Maybe,Maybe,Yes,Yes,Maybe,No,Yes,Maybe,,Yes,Maybe,Yes,Yes,Yes,
2020/06/05 11:45:10 AM GMT+1,Geology & Geophysics,Indepedent researcher / consultant,"Research, Teaching and Communication;Mining & Quarrying;Oil & Gas;Renewable Energy;Environmental Geology and Contaminated Land;Hydrogeology",Post-Doctoral,15-20,Yes (regularly),Yes (sometimes),Yes (major),1,Yes,"When interpreting reflection data, I generally do at least 2 independent pickings. I also regularly remigrate/process data I have been working on to implement new methods.",Yes,I have several times inspected the works carried on vintage seismics and outcrop interpretations,Yes,In the domain of stratigraphy I have published a few paper showing the discrepencies between interpretations and our observations,Yes,Often,Rarely,Often,Sometimes,Often,Often,Often,Sometimes,Lack of culture of reproducibility/ lack of presentation of multiple models within likelyhood/ numerical and physics illiteracy,Sometimes,Often,Sometimes,Sometimes,Sometimes,Often,Often,Often,Sometimes,Lack of openness in most publication support/ lack of non-profit database to support academics (wide use of privately hosted solutions),Maybe,Yes,Maybe,Maybe,Yes,Yes,Yes,Maybe,"Reproducibility could greatly improved by using similar open-source libraries that have been validated by mathematicians, physicists and geoscientists. In research, the systemic use of corporate solutions which focus more on the aspect of the output rather than its correctness has led to this situation.",Yes,Maybe,Yes,Yes,Maybe,Supporting an independent and non-profit meta database
2020/06/05 11:57:37 AM GMT+1,Geology,Academia,"Research, Teaching and Communication",Post-Doctoral,5-Oct,Yes (sometimes),Yes (sometimes),Yes (major),4,No,,Yes,I studied outcrops/drill-core also studied by other teams. We have different interpretations than those proposed by other workers working exactly on the same rocks. ,No,,No,Sometimes,,,Often,Sometimes,Often,Sometimes,Rarely,,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Often,Sometimes,Sometimes,,,Maybe,Yes,,Yes,,Maybe,,,Yes,Maybe,Maybe,Yes,,
2020/06/05 12:07:01 PM GMT+1,Geophysics,Academia,"Research, Teaching and Communication",Post-Doctoral,5-Oct,Yes (sometimes),Yes (regularly),Yes (minor),3,Yes,"remodelled seismic refraction data with different parameters and an extended (3x data density) dataset, with slight variations in ouput models, but unchanged geological implications/results. ",No,,No,,No,Often,Rarely,Rarely,Rarely,Rarely,Sometimes,Sometimes,Rarely,,Often,Often,Sometimes,Sometimes,Sometimes,Sometimes,Often,Sometimes,Sometimes,,Maybe,Yes,Yes,Maybe,Yes,Yes,Yes,Maybe;No,,Yes,Yes,Maybe,Yes,Maybe,
2020/06/05 12:11:48 PM GMT+1,Geology & Geophysics,Academia,Oil & Gas,Post-Doctoral,20+,Yes (sometimes),Yes (regularly),Yes (minor),5,No,,Yes,"reinterpretation of seismic data (e.g. reprocessed) sometimes confirms earlier ideas, sometime not",Yes,papers showing how reinterpretation of seismic data could put older concepts / structures in new light,No,Sometimes,,,,,,,,,Sometimes,Sometimes,,,,,,,,,,Yes,,,,,Yes,,,Yes,Maybe,,Maybe,,
2020/06/05 12:49:44 PM GMT+1,Geology & Geophysics,Academia,"Research, Teaching and Communication",Doctoral (PhD),0-5,Yes (sometimes),Yes (regularly),Yes (major),5,No,,Yes,Seismic data from published papers. It's almost never given away to people interested in reproducing it ,No,,No,Often,,Often,,,,Sometimes,Often,,,Sometimes,Sometimes,Sometimes,,,Often,Sometimes,,,Yes,Yes,Yes,,,,Yes,,,Yes,No,Maybe,,,
2020/06/05 12:55:18 PM GMT+1,hydrogeology,Industry,Mining & Quarrying;Oil & Gas;Engineering Geology;Hydrogeology;tunneling,Doctoral (PhD),20+,Yes (regularly),No,Yes (major),5,No,"In industry, once a report for a client is submitted and the contract is closed, there are few occasions to come back to the data, unless there is a major issue. Often confidentiality clauses lead to not being able to publish results or interprÃ©tations. Feedback from others outside the company is therefore difficult to get.",No,,No,,No,Sometimes,Sometimes,,Rarely,Rarely,,Often,Often,"In industry data acquisition and interpretation are in general ""one shot"". There is not much time or budget to get things done twice. Internal in the company we compare similar studies for different projects/clients and have our internal feedback, but geological settings are often different, leaving some room for explaining different results.",Often,Often,Sometimes,Sometimes,Sometimes,,,Often,,"Lack of time, especially for industrial projects where the schedule is tight. Once delais are encountered, the subsequent data acquisition campaigns and interpretation may suffer from shortcuts such as to allow trying make up for late delivery of the project.",,Yes,Yes,Yes,Yes,Yes,Yes,Maybe,,Maybe,Maybe,Maybe,Maybe,Maybe,
2020/06/05 12:59:20 PM GMT+1,Geology,Academia,"Research, Teaching and Communication;Mining & Quarrying;Oil & Gas;Renewable Energy;Natural Hazards & Risk",Post-Doctoral,5-Oct,Yes (regularly),Yes (regularly),Yes (minor),3,Yes,Very difficult since my own conceptual approach has changed.,Yes,"Attempted to map the Billefjorden Fault Zone in central Svalbard (mapped in BÃ¦lum and Braathen, 2012) on seismic data and ended up finding a new trend of faults but not the Billefjorden Fault Zone.",No,,No,Often,Often,,Sometimes,Often;Sometimes,Often,Often,Often,"Something that geoscientists commonly forget: the amount of uncertainty related to interpretation of onshore field data and partly eroded outcrops, which are used as analogs to interpret subsurface data (see interactive peer-review discussion at https://www.solid-earth-discuss.net/se-2019-200/).",Often,Often,,Sometimes,Sometimes,Sometimes,Sometimes,,,,Yes,Yes,Yes,Maybe,Maybe,Yes,Maybe,Maybe,The mention and description of uncertainty associated with one's interpretation.,Yes,Maybe,Maybe,Yes,Maybe,Make it mandatory to address the uncertainty associated with one's data and interpretation of these data.
2020/06/05 1:21:45 PM GMT+1,Geology & Geophysics,Academia;Industry,"Research, Teaching and Communication;Oil & Gas",Post-Doctoral,20+,Yes (sometimes),Yes (regularly),Yes (major),5,Yes,"If access to the same data and software ok, reproduced. But note, there is some subjectiveness - mood, health, knowledge (critically)  might lead to a different interpretation ",Yes,"Yes, generally results are reproducible. Especially is authors provide calculations. Sometimes errors are found on papers, sometimes my skills are simply not good enough at mathematics or computing for me to reproduce.  Some things are also data, experience based (including bias) and i simply wouldnâ€™t make the same interpretation or conclusion with the same data",Yes,"If  lucky with the reviewer, ok. ",No,Often,Often,Often,Sometimes,Sometimes,Often,Often,Often,,Often,Often,Often,Often,Often,Often,Often,Often,Often,,Yes,Yes,Maybe,Maybe,Yes,Yes,Yes,No,,Yes,Yes,Yes,Maybe,Maybe,
2020/06/05 1:22:26 PM GMT+1,Geology & Geophysics,Academia,"Research, Teaching and Communication;Mining & Quarrying",Post-Doctoral,5-Oct,Yes (sometimes),Yes (regularly),Yes (major),3,Yes,Other academics have reproduced my results (sometimes after an email exchange),Yes,"Particularly when studies are published without accompanying datasets, which should be impossible in my opinion.",No,,Yes,Often,Rarely,Often,Rarely,Sometimes,Often,Often,Sometimes,,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Often,Often,Rarely,Rarely,Industry rules on data availability,Yes,Yes,Yes,Maybe,Maybe,Maybe,Maybe,Maybe,,Yes,Yes,Maybe,Yes,Maybe,
2020/06/05 1:26:08 PM GMT+1,Geology & Geophysics,Industry,Oil & Gas,Doctoral (PhD),5-Oct,Yes (sometimes),Yes (sometimes),Yes (major),2,No,,Yes,Often try to replicate picked surfaces or attribute based depositional interpretations if hold the same/equivelent datasets,No,,No,Often,Rarely,Rarely,Sometimes,Sometimes,Rarely,Often,Often,,Often,Sometimes,Rarely,Often,Sometimes,Sometimes,Often,Often,Rarely,,Yes,Yes,Yes,Maybe,Maybe,Yes,Yes,Yes,"Better access to data. Often seismic volumes are only held by authors or licencing companies. Furthermore, high impact journals are often limited in lenght, thus method sections are too short to be useful. ",Maybe,Yes,Yes,Maybe,Yes,
